,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245108,-0.8513345559782999,-2.0290145032580464,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,Low,0,1,1,0
1,3.0,122.0,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245108,-0.8513345559782999,-2.0290145032580464,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,Low,0,1,1,0
2,1.0,122.0,alfa-romero,two,hatchback,rwd,front,94.5,-0.243544260846782,-0.18513448909205427,-0.5583194270710061,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,Low,0,1,1,0
3,2.0,164.0,audi,four,sedan,fwd,front,99.8,0.19469005732811234,0.1479655443510685,0.21788075202770885,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,Low,0,1,1,0
4,2.0,164.0,audi,four,sedan,4wd,front,99.4,0.19469005732811234,0.24313698247767598,0.21788075202770885,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,Low,0,1,1,0
5,2.0,122.0,audi,two,sedan,fwd,front,99.8,0.25149820968411846,0.19555126341436888,-0.27235094003463606,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,Low,0,1,1,0
6,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.7898177261004489,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,Low,0,1,1,0
7,1.0,122.0,audi,four,wagon,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.7898177261004489,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,Medium,0,1,1,0
8,1.0,158.0,audi,four,sedan,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.8715230081108383,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,Medium,0,1,0,1
9,2.0,192.0,bmw,two,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,Low,0,1,1,0
10,,192.0,bmw,four,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,Low,0,1,1,0
11,,188.0,bmw,two,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,Medium,0,1,1,0
12,,188.0,bmw,four,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,Medium,0,1,1,0
13,1.0,122.0,bmw,four,sedan,rwd,front,103.5,1.2010058990630543,0.4810655777941913,0.7898177261004489,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0,Medium,0,1,1,0
14,,122.0,bmw,four,sedan,rwd,front,103.5,1.2010058990630543,0.4810655777941913,0.7898177261004489,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,Medium,0,1,1,0
15,,122.0,bmw,two,sedan,rwd,front,103.5,1.5905475152185165,0.9569227684272219,-0.027235094003462152,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,High,0,1,1,0
16,,122.0,bmw,four,sedan,rwd,front,110.0,1.850241925988823,2.384494340326314,1.03493357213162,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0,High,0,1,1,0
17,2.0,121.0,chevrolet,two,hatchback,fwd,front,88.4,-2.686294812154986,-2.659591880383815,-0.2314982990294399,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0,Low,0,1,1,0
18,1.0,98.0,chevrolet,two,hatchback,fwd,front,94.5,-1.4852081623423132,-1.0892631512948117,-0.7217299910917877,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,Low,0,1,1,0
19,,81.0,chevrolet,four,sedan,fwd,front,94.5,-1.2498601025817215,-1.0892631512948117,-0.7217299910917877,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,Low,0,1,1,0
20,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0,Low,0,1,1,0
21,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0,Low,0,1,1,0
22,1.0,118.0,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,Low,0,1,0,1
23,1.0,148.0,dodge,four,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.293666965164525,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,Low,0,1,1,0
24,1.0,148.0,dodge,four,sedan,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.293666965164525,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,Low,0,1,1,0
25,1.0,148.0,dodge,four,sedan,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.293666965164525,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,Low,0,1,1,0
26,1.0,148.0,dodge,four,sedan,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.293666965164525,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0,Low,0,1,0,1
27,-1.0,110.0,dodge,four,wagon,fwd,front,103.3,0.032381050596670166,-0.6134059606617845,2.464776007313464,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,Low,0,1,1,0
28,3.0,145.0,dodge,two,hatchback,fwd,front,95.9,-0.08123525411533981,0.19555126341436888,-1.4570775291853064,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0,Low,0,1,0,1
29,2.0,137.0,honda,two,hatchback,fwd,front,86.6,-2.4022540503749625,-0.9465059941049039,-1.2119616831541355,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,6479.0,Low,0,1,1,0
30,2.0,137.0,honda,two,hatchback,fwd,front,86.6,-2.4022540503749625,-0.9465059941049039,-1.2119616831541355,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0,Low,0,1,1,0
31,1.0,101.0,honda,two,hatchback,fwd,front,93.7,-1.964019732200068,-0.8989202750416002,-0.47661414506061384,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,5399.0,Low,0,1,1,0
32,1.0,101.0,honda,two,hatchback,fwd,front,93.7,-1.964019732200068,-0.8989202750416002,-0.47661414506061384,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0,Low,0,1,1,0
33,1.0,101.0,honda,two,hatchback,fwd,front,93.7,-1.964019732200068,-0.8989202750416002,-0.47661414506061384,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0,Low,0,1,1,0
34,,110.0,honda,four,sedan,fwd,front,96.5,-0.8765493870994051,-0.8989202750416002,0.2995860340381011,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,Low,0,1,1,0
35,,78.0,honda,four,wagon,fwd,front,96.5,-1.3878227583034488,-0.9465059941049039,1.8519863922355309,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,Low,0,1,1,0
36,,106.0,honda,two,hatchback,fwd,front,96.5,-0.5438159232999491,-0.3278916462819621,-0.19064565802424668,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,7895.0,Low,0,1,1,0
37,,106.0,honda,two,hatchback,fwd,front,96.5,-0.5438159232999491,-0.3278916462819621,-0.19064565802424668,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0,Low,0,1,1,0
38,,85.0,honda,four,sedan,fwd,front,96.5,0.09730465328924796,-0.3278916462819621,0.13617547001731947,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,8845.0,Low,0,1,1,0
39,,85.0,honda,four,sedan,fwd,front,96.5,0.09730465328924796,-1.612706060991146,0.13617547001731947,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,10295.0,Low,0,1,1,0
40,,85.0,honda,four,sedan,fwd,front,96.5,0.09730465328924796,-0.3278916462819621,0.13617547001731947,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0,Low,0,1,1,0
41,1.0,107.0,honda,two,sedan,fwd,front,96.5,-0.41396871791479584,0.05279410622446104,-1.1302564011437433,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0,Low,0,1,1,0
42,,122.0,isuzu,four,sedan,rwd,front,94.3,-0.2841215125296425,-1.9458060944342688,-0.10894037601385442,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,Low,0,1,1,0
43,2.0,122.0,isuzu,two,hatchback,rwd,front,96.0,-0.129927956134772,-0.3278916462819621,-0.9668458371229616,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,Low,0,1,1,0
44,,145.0,jaguar,four,sedan,rwd,front,113.0,2.0612436347396974,1.7658799925033686,-0.39490886305022443,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,32250.0,High,0,1,1,0
45,,122.0,jaguar,four,sedan,rwd,front,113.0,2.0612436347396974,1.7658799925033686,-0.39490886305022443,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,35550.0,High,0,1,1,0
46,,122.0,jaguar,two,sedan,rwd,front,102.0,1.4201230581505002,2.241737183136399,-2.437540913310002,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0,High,0,1,1,0
47,1.0,104.0,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720067,-0.8037488369149927,0.13617547001731947,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0,Low,0,1,1,0
48,1.0,104.0,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720067,-0.8037488369149927,0.13617547001731947,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0,Low,0,1,1,0
49,1.0,104.0,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720067,-0.8037488369149927,0.13617547001731947,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,Low,0,1,1,0
50,1.0,113.0,mazda,four,sedan,fwd,front,93.1,-0.6006240756559529,-0.8037488369149927,0.13617547001731947,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,Low,0,1,1,0
51,1.0,113.0,mazda,four,sedan,fwd,front,93.1,-0.6006240756559529,-0.8037488369149927,0.13617547001731947,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,Low,0,1,1,0
52,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136746,-0.0899630509654468,-1.7021933752164804,2380.0,rotor,two,70.0,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,17.0,23.0,10945.0,Low,0,1,1,0
53,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136746,-0.0899630509654468,-1.7021933752164804,2380.0,rotor,two,70.0,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,17.0,23.0,11845.0,Low,0,1,1,0
54,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136746,-0.0899630509654468,-1.7021933752164804,2385.0,rotor,two,70.0,4bbl,3.330710659898477,3.256903553299492,9.4,101.0,6000.0,17.0,23.0,13645.0,Low,0,1,1,0
55,3.0,150.0,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136746,-0.0899630509654468,-1.7021933752164804,2500.0,rotor,two,80.0,mpfi,3.330710659898477,3.256903553299492,9.4,135.0,6000.0,16.0,23.0,15645.0,Low,0,1,1,0
56,1.0,129.0,mazda,two,hatchback,fwd,front,98.8,0.29207546136697904,0.29072270154097635,-0.027235094003462152,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0,Low,0,1,1,0
57,,115.0,mazda,four,sedan,fwd,front,98.8,0.29207546136697904,0.29072270154097635,0.7081124440900566,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,Low,0,1,1,0
58,1.0,129.0,mazda,two,hatchback,fwd,front,98.8,0.29207546136697904,0.29072270154097635,-0.027235094003462152,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,Low,0,1,1,0
59,,115.0,mazda,four,sedan,fwd,front,98.8,0.29207546136697904,0.29072270154097635,0.7081124440900566,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0,Low,0,1,1,0
60,,122.0,mazda,four,sedan,fwd,front,98.8,0.29207546136697904,0.29072270154097635,0.7081124440900566,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,10795.0,Low,1,0,1,0
61,,115.0,mazda,four,hatchback,fwd,front,98.8,0.29207546136697904,0.29072270154097635,0.7081124440900566,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,Low,0,1,1,0
62,,118.0,mazda,four,sedan,rwd,front,104.9,0.06484285194295906,0.10037982528776139,0.258733393032905,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0,Low,0,1,1,0
63,,122.0,mazda,four,sedan,rwd,front,104.9,0.06484285194295906,0.10037982528776139,0.258733393032905,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,18344.0,Low,1,0,1,0
64,-1.0,93.0,mercedes-benz,four,sedan,rwd,front,110.0,1.3551994554579248,2.0989800259464912,1.1166388541420122,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,25552.0,Medium,1,0,0,1
65,-1.0,93.0,mercedes-benz,four,wagon,rwd,front,110.0,1.3551994554579248,2.0989800259464912,2.0153969562563154,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0,Medium,1,0,0,1
66,,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,1.0792741440144726,2.0989800259464912,0.4629965980588827,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0,Medium,1,0,0,1
67,-1.0,93.0,mercedes-benz,four,sedan,rwd,front,115.6,2.304707144836861,2.765180092832737,1.03493357213162,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,31600.0,Medium,1,0,0,1
68,-1.0,122.0,mercedes-benz,four,sedan,rwd,front,115.6,2.304707144836861,2.765180092832737,1.1166388541420122,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,34184.0,High,0,1,1,0
69,3.0,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.49496171978128173,2.194151464073099,-1.2119616831541355,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,35056.0,High,0,1,1,0
70,,122.0,mercedes-benz,four,sedan,rwd,front,120.9,2.7510569133483265,2.765180092832737,1.1983441361524043,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,40960.0,High,0,1,1,0
71,1.0,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,2.0287818333934085,2.907937250022645,0.6672598030848605,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0,High,0,1,1,0
72,1.0,122.0,mercury,two,hatchback,rwd,front,102.7,0.3407681633864112,1.0045084874905224,0.4221439570536866,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,Low,0,1,0,1
73,2.0,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.7085773987883852,-1.2119616831541355,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5389.0,Low,0,1,1,0
74,2.0,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.7085773987883852,-1.2119616831541355,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6189.0,Low,0,1,1,0
75,2.0,161.0,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.7085773987883852,-1.2119616831541355,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6669.0,Low,0,1,1,0
76,1.0,161.0,mitsubishi,two,hatchback,fwd,front,93.0,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7689.0,Low,0,1,0,1
77,3.0,153.0,mitsubishi,two,hatchback,fwd,front,96.3,-0.09746615478848311,-0.23272020815535463,-1.7838986572268727,2370.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9959.0,Low,0,1,0,1
78,3.0,153.0,mitsubishi,two,hatchback,fwd,front,96.3,-0.09746615478848311,-0.23272020815535463,-1.7838986572268727,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0,Low,0,1,1,0
79,3.0,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.08123525411533981,0.19555126341436888,-1.4570775291853064,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145.0,5000.0,19.0,24.0,12629.0,Low,0,1,0,1
80,3.0,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.08123525411533981,0.19555126341436888,-1.4570775291853064,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14869.0,Low,0,1,0,1
81,3.0,122.0,mitsubishi,two,hatchback,fwd,front,95.9,-0.08123525411533981,0.19555126341436888,-1.4570775291853064,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14489.0,Low,0,1,0,1
82,1.0,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535463,-0.8851405551125693,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0,Low,0,1,1,0
83,1.0,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535463,-0.8851405551125693,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8189.0,Low,0,1,1,0
84,1.0,125.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535463,-0.8851405551125693,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,Low,0,1,0,1
85,-1.0,137.0,mitsubishi,four,sedan,fwd,front,96.3,-0.1461588568079153,-0.23272020815535463,-0.8851405551125693,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,Low,0,1,1,0
86,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045346,-0.9940917131682077,0.2995860340381011,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5499.0,Low,0,1,1,0
87,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045346,-0.9940917131682077,0.2995860340381011,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,7099.0,Low,1,0,1,0
88,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045346,-0.9940917131682077,0.2995860340381011,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6649.0,Low,0,1,1,0
89,1.0,122.0,nissan,four,sedan,fwd,front,94.5,-0.7223558307045346,-0.9940917131682077,0.2995860340381011,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6849.0,Low,0,1,1,0
90,1.0,103.0,nissan,four,wagon,fwd,front,94.5,-0.3246987642125031,-0.9940917131682077,-0.10894037601385442,2024.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7349.0,Low,0,1,1,0
91,1.0,128.0,nissan,two,sedan,fwd,front,94.5,-0.7223558307045346,-0.9940917131682077,0.2995860340381011,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7299.0,Low,0,1,1,0
92,1.0,128.0,nissan,two,hatchback,fwd,front,94.5,-0.6980094796948196,-0.9940917131682077,-0.19064565802424668,2028.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0,Low,0,1,1,0
93,1.0,122.0,nissan,four,sedan,fwd,front,94.5,-0.7223558307045346,-0.9940917131682077,0.2995860340381011,1971.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7499.0,Low,0,1,1,0
94,1.0,103.0,nissan,four,wagon,fwd,front,94.5,-0.3246987642125031,-0.9940917131682077,-0.10894037601385442,2037.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7999.0,Low,0,1,1,0
95,2.0,168.0,nissan,two,hardtop,fwd,front,95.1,-0.9577038904651262,-0.9940917131682077,-0.19064565802424668,2008.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0,Low,0,1,1,0
96,,106.0,nissan,four,hatchback,fwd,front,97.2,-0.06500435344219421,-0.3278916462819621,0.38129131604849337,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0,Low,0,1,1,0
97,,106.0,nissan,four,sedan,fwd,front,97.2,-0.06500435344219421,-0.3278916462819621,0.38129131604849337,2302.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,9549.0,Low,0,1,1,0
98,,128.0,nissan,four,sedan,fwd,front,100.4,0.6085780244932895,0.29072270154097635,0.544701880069275,3095.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,13499.0,Low,0,1,1,0
