,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
99,,108.0,nissan,four,wagon,fwd,front,100.4,0.843926084253881,0.29072270154097635,0.9532282901212306,3296.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,14399.0,Low,0,1,1,0
100,,108.0,nissan,four,sedan,fwd,front,100.4,0.843926084253881,0.29072270154097635,0.544701880069275,3060.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,19.0,25.0,13499.0,Low,0,1,1,0
101,3.0,194.0,nissan,two,hatchback,rwd,front,91.3,-0.2841215125296425,0.9569227684272219,-1.6613407342112843,3071.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,17199.0,Low,0,1,1,0
102,3.0,194.0,nissan,two,hatchback,rwd,front,91.3,-0.2841215125296425,0.9569227684272219,-1.6613407342112843,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,7.8,200.0,5200.0,17.0,23.0,19699.0,Medium,0,1,0,1
103,1.0,231.0,nissan,two,hatchback,rwd,front,99.2,0.3488836137229829,0.9569227684272219,-1.6613407342112843,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,18399.0,Low,0,1,1,0
104,,161.0,peugot,four,sedan,rwd,front,107.9,1.014350541321895,1.1948513637437372,1.1983441361524043,3020.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,11900.0,Low,0,1,1,0
105,,161.0,peugot,four,sedan,rwd,front,107.9,1.014350541321895,1.1948513637437372,1.1983441361524043,3197.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,13200.0,Low,1,0,0,1
106,,122.0,peugot,four,wagon,rwd,front,114.2,2.0044354823836934,1.1948513637437372,2.0153969562563154,3230.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,12440.0,Low,0,1,1,0
107,,122.0,peugot,four,wagon,rwd,front,114.2,2.0044354823836934,1.1948513637437372,2.0153969562563154,3430.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,13860.0,Low,1,0,0,1
108,,161.0,peugot,four,sedan,rwd,front,107.9,1.014350541321895,1.1948513637437372,1.1983441361524043,3075.0,l,four,120.0,mpfi,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,15580.0,Low,0,1,1,0
109,,161.0,peugot,four,sedan,rwd,front,107.9,1.014350541321895,1.1948513637437372,1.1983441361524043,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,16900.0,Low,1,0,0,1
110,,122.0,peugot,four,wagon,rwd,front,114.2,2.0044354823836934,1.1948513637437372,1.1983441361524043,3285.0,l,four,120.0,mpfi,3.46,2.19,8.4,95.0,5000.0,19.0,24.0,16695.0,Low,0,1,1,0
111,,122.0,peugot,four,wagon,rwd,front,114.2,2.0044354823836934,1.1948513637437372,2.0153969562563154,3485.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,17075.0,Low,1,0,0,1
112,,161.0,peugot,four,sedan,rwd,front,107.9,1.014350541321895,1.1948513637437372,1.1983441361524043,3075.0,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000.0,19.0,24.0,16630.0,Low,0,1,1,0
113,,161.0,peugot,four,sedan,rwd,front,107.9,1.014350541321895,1.1948513637437372,1.1983441361524043,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,17950.0,Low,1,0,0,1
114,,161.0,peugot,four,sedan,rwd,front,108.0,1.014350541321895,1.1472656446804301,0.9123756491160344,3130.0,l,four,134.0,mpfi,3.61,3.21,7.0,142.0,5600.0,18.0,24.0,18150.0,Low,0,1,0,1
115,1.0,119.0,plymouth,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,1918.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5572.0,Low,0,1,1,0
116,1.0,119.0,plymouth,two,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.2119616831541355,2128.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,Low,0,1,0,1
117,1.0,154.0,plymouth,four,hatchback,fwd,front,93.7,-1.3715918576303032,-0.9940917131682077,-1.293666965164525,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,Low,0,1,1,0
118,1.0,154.0,plymouth,four,sedan,fwd,front,93.7,-0.5600468239730924,-0.9940917131682077,-1.2119616831541355,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,Low,0,1,1,0
119,1.0,154.0,plymouth,four,sedan,fwd,front,93.7,-0.5600468239730924,-0.9940917131682077,-1.2119616831541355,2191.0,ohc,four,98.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,Low,0,1,1,0
120,-1.0,74.0,plymouth,four,wagon,fwd,front,103.3,0.032381050596670166,-0.6134059606617845,2.464776007313464,2535.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,Low,0,1,1,0
121,3.0,122.0,plymouth,two,hatchback,rwd,front,95.9,-0.08123525411533981,0.19555126341436888,-1.4570775291853064,2818.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,12764.0,Low,0,1,0,1
122,3.0,186.0,porsche,two,hatchback,rwd,front,94.5,-0.4301996185879391,1.1472656446804301,-1.4570775291853064,2778.0,ohc,four,151.0,mpfi,3.94,3.11,9.5,143.0,5500.0,19.0,27.0,22018.0,Medium,0,1,1,0
123,3.0,122.0,porsche,two,hardtop,rwd,rear,89.5,-0.4301996185879391,-0.42306308440856955,-0.8851405551125693,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,32528.0,High,0,1,1,0
124,3.0,122.0,porsche,two,hardtop,rwd,rear,89.5,-0.4301996185879391,-0.42306308440856955,-0.8851405551125693,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,34028.0,High,0,1,1,0
125,3.0,122.0,porsche,two,convertible,rwd,rear,89.5,-0.4301996185879391,-0.42306308440856955,-0.8851405551125693,2800.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,37028.0,High,0,1,1,0
126,,122.0,renault,four,wagon,fwd,front,96.1,0.5923471238201461,0.29072270154097635,0.5855545210744711,2579.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,103.39698492462311,5117.587939698493,23.0,31.0,9295.0,Low,0,1,1,0
127,2.0,122.0,renault,two,hatchback,fwd,front,96.1,0.21092095800125793,0.3383084206042767,-1.334519606169721,2460.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,103.39698492462311,5117.587939698493,23.0,31.0,9895.0,Low,0,1,1,0
128,3.0,150.0,saab,two,hatchback,fwd,front,99.1,1.0062350909853233,0.29072270154097635,0.9532282901212306,2658.0,ohc,four,121.0,mpfi,3.54,3.07,9.31,110.0,5250.0,21.0,28.0,11850.0,Low,0,1,1,0
129,2.0,104.0,saab,four,sedan,fwd,front,99.1,1.0062350909853233,0.29072270154097635,0.9532282901212306,2695.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,12170.0,Low,0,1,1,0
130,3.0,150.0,saab,two,hatchback,fwd,front,99.1,1.0062350909853233,0.29072270154097635,0.9532282901212306,2707.0,ohc,four,121.0,mpfi,2.54,2.07,9.3,110.0,5250.0,21.0,28.0,15040.0,Low,0,1,1,0
131,2.0,104.0,saab,four,sedan,fwd,front,99.1,1.0062350909853233,0.29072270154097635,0.9532282901212306,2758.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,15510.0,Low,0,1,1,0
132,3.0,150.0,saab,two,hatchback,fwd,front,99.1,1.0062350909853233,0.29072270154097635,0.9532282901212306,2808.0,dohc,four,121.0,mpfi,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18150.0,Low,0,1,0,1
133,2.0,104.0,saab,four,sedan,fwd,front,99.1,1.0062350909853233,0.29072270154097635,0.9532282901212306,2847.0,dohc,four,121.0,mpfi,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18620.0,Medium,0,1,0,1
134,2.0,83.0,subaru,two,hatchback,fwd,front,93.7,-1.4040536589765922,-1.1844345894214192,-0.027235094003462152,2050.0,ohcf,four,97.0,2bbl,3.62,2.36,9.0,69.0,4900.0,31.0,36.0,5118.0,Low,0,1,1,0
135,2.0,83.0,subaru,two,hatchback,fwd,front,93.7,-1.3228991556108711,-1.0892631512948117,-0.027235094003462152,2120.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7053.0,Low,0,1,1,0
136,2.0,83.0,subaru,two,hatchback,4wd,front,93.3,-1.3715918576303032,-0.9940917131682077,0.7898177261004489,2240.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7603.0,Low,0,1,1,0
137,,102.0,subaru,four,sedan,fwd,front,97.2,-0.1786206581542042,-0.23272020815535463,-0.51746678606581,2145.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82.0,4800.0,32.0,37.0,7126.0,Low,0,1,1,0
138,,102.0,subaru,four,sedan,fwd,front,97.2,-0.1786206581542042,-0.23272020815535463,-0.51746678606581,2190.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82.0,4400.0,28.0,33.0,7775.0,Low,0,1,1,0
139,,102.0,subaru,four,sedan,fwd,front,97.2,-0.1786206581542042,-0.23272020815535463,-0.51746678606581,2340.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200.0,26.0,32.0,9960.0,Low,0,1,1,0
140,,102.0,subaru,four,sedan,4wd,front,97.0,-0.1786206581542042,-0.23272020815535463,0.21788075202770885,2385.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,24.0,25.0,9233.0,Low,0,1,1,0
141,,102.0,subaru,four,sedan,4wd,front,97.0,-0.1786206581542042,-0.23272020815535463,0.21788075202770885,2510.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111.0,4800.0,24.0,29.0,11259.0,Low,0,1,0,1
142,,89.0,subaru,four,wagon,fwd,front,97.0,-0.05688890310562257,-0.23272020815535463,-0.3132035810398322,2290.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,7463.0,Low,0,1,1,0
143,,89.0,subaru,four,wagon,fwd,front,97.0,-0.05688890310562257,-0.23272020815535463,-0.3132035810398322,2455.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200.0,25.0,31.0,10198.0,Low,0,1,1,0
144,,85.0,subaru,four,wagon,4wd,front,96.9,-0.04877345276905092,-0.23272020815535463,0.4629965980588827,2420.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,23.0,29.0,8013.0,Low,0,1,1,0
145,,85.0,subaru,four,wagon,4wd,front,96.9,-0.04877345276905092,-0.23272020815535463,0.4629965980588827,2650.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111.0,4800.0,23.0,23.0,11694.0,Low,0,1,0,1
146,1.0,87.0,toyota,two,hatchback,fwd,front,95.7,-1.2579755529182957,-1.0892631512948117,0.2995860340381011,1985.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,35.0,39.0,5348.0,Low,0,1,1,0
147,1.0,87.0,toyota,two,hatchback,fwd,front,95.7,-1.2579755529182957,-1.0892631512948117,0.2995860340381011,2040.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,6338.0,Low,0,1,1,0
148,1.0,74.0,toyota,four,hatchback,fwd,front,95.7,-1.2579755529182957,-1.0892631512948117,0.2995860340381011,2015.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,6488.0,Low,0,1,1,0
149,,77.0,toyota,four,wagon,fwd,front,95.7,-0.3652760158953636,-1.0892631512948117,2.178807520277097,2280.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31.0,37.0,6918.0,Low,0,1,1,0
150,,81.0,toyota,four,wagon,4wd,front,95.7,-0.3652760158953636,-1.0892631512948117,2.178807520277097,2290.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,7898.0,Low,0,1,1,0
151,,91.0,toyota,four,wagon,4wd,front,95.7,-0.3652760158953636,-1.0892631512948117,2.178807520277097,3110.0,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,8778.0,Low,0,1,1,0
152,,91.0,toyota,four,sedan,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.3132035810398322,2081.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,6938.0,Low,0,1,1,0
153,,91.0,toyota,four,hatchback,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.39490886305022443,2109.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,7198.0,Low,0,1,1,0
154,,91.0,toyota,four,sedan,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.3132035810398322,2275.0,ohc,four,110.0,idi,3.27,3.35,22.5,56.0,4500.0,34.0,36.0,7898.0,Low,1,0,1,0
155,,91.0,toyota,four,hatchback,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.39490886305022443,2275.0,ohc,four,110.0,idi,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,7788.0,Low,1,0,1,0
156,,91.0,toyota,four,sedan,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.3132035810398322,2094.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,38.0,47.0,7738.0,Low,0,1,1,0
157,,91.0,toyota,four,hatchback,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.39490886305022443,2122.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,8358.0,Low,0,1,1,0
158,,91.0,toyota,four,sedan,fwd,front,95.7,-0.6412013273388135,-0.7085773987883852,-0.39490886305022443,2140.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,9258.0,Low,0,1,1,0
159,1.0,168.0,toyota,two,sedan,rwd,front,94.5,-0.4464305192610847,-0.8989202750416002,-0.47661414506061384,2169.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,8058.0,Low,0,1,1,0
160,1.0,168.0,toyota,two,hatchback,rwd,front,94.5,-0.4464305192610847,-0.8989202750416002,-0.47661414506061384,2204.0,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,8238.0,Low,0,1,1,0
161,1.0,168.0,toyota,two,sedan,rwd,front,94.5,-0.4464305192610847,-0.8989202750416002,-0.47661414506061384,2265.0,dohc,four,98.0,mpfi,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9298.0,Low,0,1,1,0
162,1.0,168.0,toyota,two,hatchback,rwd,front,94.5,-0.4464305192610847,-0.8989202750416002,-0.47661414506061384,2300.0,dohc,four,98.0,mpfi,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9538.0,Low,0,1,1,0
163,2.0,134.0,toyota,two,hardtop,rwd,front,98.4,0.16222825598182344,-0.1375487700287539,-0.7217299910917877,2540.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,8449.0,Low,0,1,1,0
164,2.0,134.0,toyota,two,hardtop,rwd,front,98.4,0.16222825598182344,-0.1375487700287539,-0.7217299910917877,2536.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9639.0,Low,0,1,1,0
165,2.0,134.0,toyota,two,hatchback,rwd,front,98.4,0.16222825598182344,-0.1375487700287539,-0.7217299910917877,2551.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9989.0,Low,0,1,1,0
166,2.0,134.0,toyota,two,hardtop,rwd,front,98.4,0.16222825598182344,-0.1375487700287539,-0.7217299910917877,2679.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,11199.0,Low,0,1,1,0
167,2.0,134.0,toyota,two,hatchback,rwd,front,98.4,0.16222825598182344,-0.1375487700287539,-0.7217299910917877,2714.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,11549.0,Low,0,1,1,0
168,2.0,134.0,toyota,two,convertible,rwd,front,98.4,0.16222825598182344,-0.1375487700287539,-0.3132035810398322,2975.0,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,17669.0,Low,0,1,1,0
169,-1.0,65.0,toyota,four,sedan,fwd,front,102.4,0.11353555396239125,0.29072270154097635,0.4629965980588827,2326.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,29.0,34.0,8948.0,Low,0,1,1,0
170,-1.0,65.0,toyota,four,sedan,fwd,front,102.4,0.11353555396239125,0.29072270154097635,0.4629965980588827,2480.0,ohc,four,110.0,idi,3.27,3.35,22.5,73.0,4500.0,30.0,33.0,10698.0,Low,1,0,0,1
171,-1.0,65.0,toyota,four,hatchback,fwd,front,102.4,0.11353555396239125,0.29072270154097635,0.05447018800692721,2414.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,9988.0,Low,0,1,1,0
172,-1.0,65.0,toyota,four,sedan,fwd,front,102.4,0.11353555396239125,0.29072270154097635,0.4629965980588827,2414.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,10898.0,Low,0,1,1,0
173,-1.0,65.0,toyota,four,hatchback,fwd,front,102.4,0.11353555396239125,0.29072270154097635,0.05447018800692721,2458.0,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,11248.0,Low,0,1,1,0
174,3.0,197.0,toyota,two,hatchback,rwd,front,102.9,0.7546561305515883,0.8617513303006145,-0.7217299910917877,2976.0,dohc,six,171.0,mpfi,3.27,3.35,9.3,161.0,5200.0,20.0,24.0,16558.0,Low,0,1,1,0
175,3.0,197.0,toyota,two,hatchback,rwd,front,102.9,0.7546561305515883,0.8617513303006145,-0.7217299910917877,3016.0,dohc,six,171.0,mpfi,3.27,3.35,9.3,161.0,5200.0,19.0,24.0,15998.0,Low,0,1,1,0
176,-1.0,90.0,toyota,four,sedan,rwd,front,104.5,1.10362049502419,0.29072270154097635,0.13617547001731947,3131.0,dohc,six,171.0,mpfi,3.27,3.35,9.2,156.0,5200.0,20.0,24.0,15690.0,Low,0,1,1,0
177,-1.0,122.0,toyota,four,wagon,rwd,front,104.5,1.10362049502419,0.29072270154097635,0.13617547001731947,3151.0,dohc,six,161.0,mpfi,3.27,3.35,9.2,156.0,5200.0,19.0,24.0,15750.0,Low,0,1,1,0
178,2.0,122.0,volkswagen,two,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2261.0,ohc,four,97.0,idi,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7775.0,Low,1,0,1,0
179,2.0,122.0,volkswagen,two,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2209.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,7975.0,Low,0,1,1,0
180,2.0,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2264.0,ohc,four,97.0,idi,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7995.0,Low,1,0,1,0
181,2.0,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2212.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,8195.0,Low,0,1,1,0
182,2.0,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2275.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,8495.0,Low,0,1,1,0
183,2.0,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2319.0,ohc,four,97.0,idi,3.01,3.4,23.0,68.0,4500.0,37.0,42.0,9495.0,Low,1,0,0,1
184,2.0,94.0,volkswagen,four,sedan,fwd,front,97.3,-0.20296700916392144,-0.18513448909205427,0.7898177261004489,2300.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,100.0,5500.0,26.0,32.0,9995.0,Low,0,1,1,0
185,3.0,122.0,volkswagen,two,convertible,fwd,front,94.5,-1.2092828508988611,-0.8037488369149927,0.7489650850952527,2254.0,ohc,four,109.0,mpfi,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,11595.0,Low,0,1,1,0
186,3.0,256.0,volkswagen,two,hatchback,fwd,front,94.5,-0.689894029358248,-0.8989202750416002,-0.9668458371229616,2221.0,ohc,four,109.0,mpfi,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,9980.0,Low,0,1,1,0
187,,122.0,volkswagen,four,sedan,fwd,front,100.4,0.48684626944470777,0.4810655777941913,0.544701880069275,2661.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,24.0,13295.0,Low,0,1,1,0
188,,122.0,volkswagen,four,sedan,fwd,front,100.4,0.48684626944470777,0.4810655777941913,0.544701880069275,2579.0,ohc,four,97.0,idi,3.01,3.4,23.0,68.0,4500.0,33.0,38.0,13845.0,Low,1,0,0,1
189,,122.0,volkswagen,four,wagon,fwd,front,100.4,0.7221943292052994,0.4810655777941913,0.544701880069275,2563.0,ohc,four,109.0,mpfi,3.19,3.4,9.0,88.0,5500.0,25.0,31.0,12290.0,Low,0,1,1,0
190,-2.0,103.0,volvo,four,sedan,rwd,front,104.3,1.184774998389911,0.6238227349840991,0.9940809311264267,2912.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,12940.0,Low,0,1,1,0
191,-1.0,74.0,volvo,four,wagon,rwd,front,104.3,1.184774998389911,0.6238227349840991,1.5251652641939677,3034.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,13415.0,Low,0,1,1,0
192,-2.0,103.0,volvo,four,sedan,rwd,front,104.3,1.184774998389911,0.6238227349840991,0.9940809311264267,2935.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,15985.0,Low,0,1,1,0
193,-1.0,74.0,volvo,four,wagon,rwd,front,104.3,1.184774998389911,0.6238227349840991,1.5251652641939677,3042.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,24.0,28.0,16515.0,Low,0,1,1,0
194,-2.0,103.0,volvo,four,sedan,rwd,front,104.3,1.184774998389911,0.6238227349840991,0.9940809311264267,3045.0,ohc,four,130.0,mpfi,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18420.0,Low,0,1,0,1
195,-1.0,74.0,volvo,four,wagon,rwd,front,104.3,1.184774998389911,0.6238227349840991,1.5251652641939677,3157.0,ohc,four,130.0,mpfi,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18950.0,Medium,0,1,0,1
196,-1.0,95.0,volvo,four,sedan,rwd,front,109.1,1.184774998389911,1.4327799590602526,0.7081124440900566,2952.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,16845.0,Low,0,1,1,0
197,-1.0,95.0,volvo,four,sedan,rwd,front,109.1,1.184774998389911,1.3851942399969455,0.7081124440900566,3049.0,ohc,four,141.0,mpfi,3.78,3.15,8.7,160.0,5300.0,19.0,25.0,19045.0,Medium,0,1,0,1
198,-1.0,95.0,volvo,four,sedan,rwd,front,109.1,1.184774998389911,1.4327799590602526,0.7081124440900566,3012.0,ohcv,six,173.0,mpfi,3.58,2.87,8.8,134.0,5500.0,18.0,23.0,21485.0,Medium,0,1,1,0
199,-1.0,95.0,volvo,four,sedan,rwd,front,109.1,1.184774998389911,1.4327799590602526,0.7081124440900566,3217.0,ohc,six,145.0,idi,3.01,3.4,23.0,106.0,4800.0,26.0,27.0,22470.0,Medium,1,0,0,1
200,-1.0,95.0,volvo,four,sedan,rwd,front,109.1,1.184774998389911,1.4327799590602526,0.7081124440900566,3062.0,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,19.0,25.0,22625.0,Medium,0,1,0,1
